,brand,year,model,used_or_new,transmission,drive_type,fuel_type,fuel_consumption,kilometres,cylinders,body_type,doors,seats,price,cylinder_capacity,exterior_clr,suburb,state
6618,LDV,2023.0,V80,NEW,Automatic,Front,Diesel,9.4 L / 100 km,11.0,4,Commercial,4,3,41990.0,2.5,White,Berwick,VIC
6619,Hyundai,2014.0,Veloster,USED,Automatic,Front,Unleaded,6.4 L / 100 km,82501.0,4,Hatchback,3,4,17830.0,1.6,Orange,Fyshwick,ACT
6620,Volkswagen,2022.0,Tiguan,NEW,Automatic,Front,Premium,7.7 L / 100 km,45.0,4,SUV,4,7,56858.0,1.4,Grey,Taree,NSW
6621,Honda,2011.0,CR-Z,USED,Automatic,Front,Hybrid,4.7 L / 100 km,137269.0,4,Coupe,2,4,17990.0,1.5,Red,Fairfield,VIC
6622,Hyundai,2014.0,Veloster,USED,Automatic,Front,Unleaded,6.4 L / 100 km,58100.0,4,Hatchback,3,4,21990.0,1.6,Red,Southport,QLD
6623,Audi,1999.0,TT,USED,Manual,AWD,Premium,10.5 L / 100 km,204026.0,4,Coupe,2,4,15999.0,1.8,Silver,Ringwood,VIC
6624,Audi,2012.0,A1,USED,Automatic,Front,Premium,5.3 L / 100 km,114382.0,4,Hatchback,3,4,15990.0,1.4,Blue,Lilydale,VIC
6625,Renault,2023.0,Captur,NEW,Automatic,Front,,6.6 L / 100 km,10.0,4,SUV,4,4,41888.0,1.3,Black,Berwick,VIC
6626,Mercedes-Benz,2012.0,C250,USED,Automatic,Rear,Premium,7 L / 100 km,94342.0,4,Coupe,2,4,20888.0,1.8,Grey,Ringwood,VIC
6627,Renault,2022.0,Captur,DEMO,Automatic,Front,Premium,6.6 L / 100 km,1250.0,4,SUV,4,4,42990.0,1.3,White,Southport,QLD
6628,Mercedes-Benz,2010.0,CLC200,USED,Automatic,Rear,Premium,9 L / 100 km,121110.0,4,Coupe,2,4,14888.0,1.8,Black,Ringwood,VIC
6629,Holden,2015.0,Cascada,USED,Automatic,Front,Premium,7.5 L / 100 km,138834.0,4,Convertible,2,4,16950.0,1.6,Silver,Seaford,VIC
6630,Fiat,2020.0,500,USED,Automatic,Front,Unleaded,4.8 L / 100 km,40532.0,4,Hatchback,3,4,21950.0,1.2,Red,Moorabbin,VIC
6631,Fiat,2013.0,500,USED,Automatic,Front,Premium,6.3 L / 100 km,75164.0,4,Convertible,2,4,10990.0,1.4,Black,Carrum Downs,VIC
6632,Ford,2020.0,Mustang,USED,Automatic,Rear,Unleaded,9.5 L / 100 km,11487.0,4,Hatchback,2,4,59990.0,2.3,Red,Berwick,VIC
6633,Mini,2014.0,Paceman,USED,Automatic,AWD,Premium,8.3 L / 100 km,87861.0,4,Hatchback,3,4,31990.0,1.6,Blue,Pinkenba,QLD
6634,Abarth,2021.0,595,USED,Automatic,Front,Premium,5.8 L / 100 km,14901.0,4,Hatchback,3,4,37990.0,1.4,Grey,Pakenham,VIC
6635,Hyundai,2012.0,Veloster,USED,Automatic,Front,Unleaded,6.4 L / 100 km,69040.0,4,Hatchback,3,4,17990.0,1.6,Red,Eagle Farm,QLD
6636,Mercedes-Benz,2015.0,CLS250,USED,Automatic,Rear,Diesel,5.4 L / 100 km,89170.0,4,Sedan,4,4,39800.0,2.1,Silver,Mansfield,QLD
6637,Mahindra,2023.0,XUV700,DEMO,Automatic,Front,,8.3 L / 100 km,83.0,4,SUV,4,7,40290.0,,Red,Toowoomba,QLD
6638,Hyundai,2012.0,Veloster,USED,Automatic,Front,Unleaded,6.4 L / 100 km,165000.0,4,Hatchback,3,4,14999.0,1.6,Green,Archerfield,QLD
6639,Audi,2015.0,A5,USED,Automatic,Front,Premium,5.9 L / 100 km,111923.0,4,Hatchback,5,4,24990.0,1.8,Black,Kedron,QLD
6640,Toyota,2007.0,HiAce,USED,Automatic,Rear,Diesel,9.6 L / 100 km,245124.0,4,People Mover,3,14,27999.0,3.0,Blue,Rocklea,QLD
6641,Mercedes-Benz,2013.0,C250,USED,Automatic,Rear,Diesel,5.1 L / 100 km,199730.0,4,Coupe,2,4,18850.0,2.1,Silver,Kedron,QLD
6642,Audi,2013.0,A1,USED,Automatic,Front,Premium,5.9 L / 100 km,45000.0,4,Hatchback,3,4,19990.0,1.4,Black,Balwyn,VIC
6643,Fiat,2015.0,500,USED,Manual,Front,Premium,5.1 L / 100 km,104975.0,4,Hatchback,3,4,10999.0,1.2,Black,Brooklyn,VIC
6644,Mercedes-Benz,2010.0,CLC200,USED,Automatic,Rear,Premium,9 L / 100 km,49001.0,4,Coupe,2,4,17990.0,1.8,Black,Alphington,VIC
6645,Audi,2014.0,A3,USED,Automatic,Front,Premium,5.8 L / 100 km,94700.0,4,Convertible,2,4,24888.0,1.8,Grey,Southbank,VIC
6646,Ford,2020.0,Mustang,USED,Automatic,Rear,Unleaded,9.5 L / 100 km,27317.0,4,Hatchback,2,4,58990.0,2.3,Red,Hoppers Crossing,VIC
6647,Mercedes-Benz,2012.0,C180,USED,Automatic,Rear,Premium,7.3 L / 100 km,104000.0,4,Coupe,2,4,16990.0,1.8,White,Coorparoo,QLD
6648,Mazda,2023.0,CX-8,NEW,Automatic,Front,,8.1 L / 100 km,25.0,4,SUV,4,7,61999.0,2.5,Blue,Mount Gravatt,QLD
6649,Holden,2007.0,Astra,USED,Automatic,Front,Unleaded,9.7 L / 100 km,175600.0,4,Convertible,2,4,8800.0,2.2,Silver,Cheltenham,VIC
6650,Mazda,2023.0,CX-9,NEW,Automatic,Front,Unleaded,8.4 L / 100 km,25.0,4,SUV,4,7,58990.0,2.5,Silver,Mount Gravatt,QLD
6651,Mazda,2023.0,CX-8,NEW,Automatic,Front,,8.1 L / 100 km,25.0,4,SUV,4,7,61800.0,2.5,Grey,Mount Gravatt,QLD
6652,Renault,2022.0,Captur,NEW,Automatic,Front,Premium,6.6 L / 100 km,22.0,4,SUV,4,4,43340.0,1.3,Black,Seaford,VIC
6653,Hyundai,2022.0,Santa,DEMO,Automatic,AWD,Diesel,6.1 L / 100 km,2039.0,4,SUV,4,7,64777.0,2.2,Grey,Indooroopilly,QLD
6654,Mazda,2023.0,CX-8,NEW,Automatic,Front,,8.1 L / 100 km,25.0,4,SUV,4,7,49996.0,2.5,Grey,Mount Gravatt,QLD
6655,Mercedes-Benz,2013.0,E250,USED,Automatic,Rear,Diesel,4.7 L / 100 km,101744.0,4,Coupe,2,4,27980.0,2.1,Black,Port Melbourne,VIC
6656,Suzuki,2023.0,Ignis,NEW,Automatic,Front,Premium,4.9 L / 100 km,20.0,4,SUV,4,4,27180.0,1.2,Brown,Indooroopilly,QLD
6657,Mazda,2023.0,CX-8,NEW,Automatic,AWD,Diesel,6 L / 100 km,25.0,4,SUV,4,7,69999.0,2.2,Blue,Mount Gravatt,QLD
6658,Ssangyong,2023.0,Rexton,NEW,Automatic,AWD,Diesel,8.7 L / 100 km,22.0,4,SUV,4,7,56585.0,2.2,Blue,Frankston,VIC
6659,Ssangyong,2023.0,Rexton,NEW,Automatic,AWD,Diesel,8.7 L / 100 km,10.0,4,SUV,4,7,56585.0,2.2,Blue,Elsternwick,VIC
6660,Mazda,2023.0,CX-8,NEW,Automatic,AWD,Diesel,6 L / 100 km,25.0,4,SUV,4,7,71989.0,2.2,Black,Mount Gravatt,QLD
6661,Mercedes-Benz,2013.0,C180,USED,Automatic,Rear,Premium,6.3 L / 100 km,114527.0,4,Coupe,2,4,18990.0,1.6,Grey,Pinkenba,QLD
6662,Ssangyong,2022.0,Rexton,NEW,Automatic,AWD,Diesel,8.7 L / 100 km,22.0,4,SUV,4,7,56990.0,2.2,Silver,Frankston,VIC
6663,Ssangyong,2023.0,Rexton,NEW,Automatic,AWD,Diesel,8.7 L / 100 km,10.0,4,SUV,4,7,56580.0,2.2,Silver,Elsternwick,VIC
